Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.695947598287072,2.30193654120246,0.000000000000000E+000,1.92439101805172,0.000000000000000E+000,5.337944371909970E-002,5.337944371909970E-002,5.337944371909970E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395586442050 
 01/01  02:00:00,0.587536168830967,2.33635243322117,0.000000000000000E+000,2.03220262791055,0.000000000000000E+000,5.636996056663293E-002,5.636996056663293E-002,5.636996056663293E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601775802 
 01/01  03:00:00,0.545424022253044,2.37510059393674,0.000000000000000E+000,2.09066551998039,0.000000000000000E+000,5.799162509719046E-002,5.799162509719046E-002,5.799162509719046E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637026404543 
 01/01  04:00:00,0.533648662010788,2.43205591813394,0.000000000000000E+000,2.14249673144146,0.000000000000000E+000,5.942933770815435E-002,5.942933770815435E-002,5.942933770815435E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096126320293 
 01/01  05:00:00,0.531752765776308,2.45704438201041,0.000000000000000E+000,2.11092876747904,0.000000000000000E+000,5.855369427610155E-002,5.855369427610155E-002,5.855369427610155E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538874405242 
 01/01  06:00:00,0.584144144314111,2.71312005138487,0.000000000000000E+000,2.11611429849772,0.000000000000000E+000,5.869753238310195E-002,5.869753238310195E-002,5.869753238310195E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925420280 
 01/01  07:00:00,0.775187251959094,2.82136699982316,0.000000000000000E+000,1.75487616899805,0.000000000000000E+000,4.867738043792070E-002,4.867738043792070E-002,4.867738043792070E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738184069650 
 01/01  08:00:00,1.08954192160727,3.48838977357736,0.000000000000000E+000,2.28829975348435,0.000000000000000E+000,6.347367388318625E-002,6.347367388318625E-002,6.347367388318625E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915953717523 
 01/01  09:00:00,1.04076981461540,3.13087569884642,0.000000000000000E+000,1.96302080885693,0.000000000000000E+000,5.445097062024637E-002,5.445097062024637E-002,5.445097062024637E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170495328081 
 01/01  10:00:00,0.911312925589518,2.85130027699423,0.000000000000000E+000,1.78852689401310,0.000000000000000E+000,4.961079623813885E-002,4.961079623813885E-002,4.961079623813885E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051767223548 
 01/01  11:00:00,0.927616561266483,3.22659938122394,0.000000000000000E+000,2.28599417289264,0.000000000000000E+000,6.340972086725527E-002,6.340972086725527E-002,6.340972086725527E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.330684219834836,0.917826080117502 
 01/01  12:00:00,0.925565835823315,2.39578398454896,0.000000000000000E+000,1.56613578418627,0.000000000000000E+000,4.344203239582589E-002,4.344203239582589E-002,4.344203239582589E-002,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.330785532402186,0.806862093249308 
 01/01  13:00:00,0.899379962026716,2.07026965452048,0.000000000000000E+000,1.32597497733697,0.000000000000000E+000,3.678036636616205E-002,3.678036636616205E-002,3.678036636616205E-002,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.325213341197862,0.721892409546768 
 01/01  14:00:00,0.867263732084078,1.83337430337018,0.000000000000000E+000,1.14062765929681,0.000000000000000E+000,3.163913641912777E-002,3.163913641912777E-002,3.163913641912777E-002,0.101778637007394,2.087580567923118E-002,0.361436104744461,0.336459036173864,0.669569718583771 
 01/01  15:00:00,0.855778117484188,1.52480138504898,0.000000000000000E+000,0.880392239848342,0.000000000000000E+000,2.442063363260502E-002,2.442063363260502E-002,2.442063363260502E-002,0.107135438875193,2.197453803681636E-002,0.331768008611008,0.355404486268567,0.619927165490452 
 01/01  16:00:00,0.915042400940779,1.49860401410629,0.000000000000000E+000,0.847079881901730,0.000000000000000E+000,2.349660357869116E-002,2.349660357869116E-002,2.349660357869116E-002,0.133919315218456,2.746817254602046E-002,0.339922860635529,0.375160436902082,0.625681267077188 
 01/01  17:00:00,1.14268828351716,1.55287345834734,0.000000000000000E+000,0.832576728904278,0.000000000000000E+000,2.309430995337549E-002,2.309430995337549E-002,2.309430995337549E-002,0.224984414988118,4.614652714944218E-002,0.389638974367272,0.443749044998952,0.689729149303198 
 01/01  18:00:00,1.58601107015627,2.58163681234308,0.000000000000000E+000,1.72687700086049,0.000000000000000E+000,4.790072953601936E-002,4.790072953601936E-002,4.790072953601936E-002,0.417828218263038,8.570068743209509E-002,0.480422251988538,0.539084170876581,0.817625086842363 
